accuracy,loss,val_accuracy,val_loss,learning_rate
0.4909090995788574,0.9861065149307251,0.6382978558540344,0.8045211434364319,0.000796219683252275
0.8409090638160706,0.5331557989120483,0.7446808218955994,0.6591231822967529,0.000796219683252275
0.9090909361839294,0.32467120885849,0.8297872543334961,0.5131729245185852,0.000796219683252275
0.9363636374473572,0.23549330234527588,0.8085106611251831,0.45251700282096863,0.000796219683252275
0.9545454382896423,0.15595848858356476,0.8085106611251831,0.4179569482803345,0.000796219683252275
0.9727272987365723,0.12854768335819244,0.8297872543334961,0.3641652762889862,0.000796219683252275
0.9772727489471436,0.11247847974300385,0.8297872543334961,0.42741382122039795,0.000796219683252275
0.9727272987365723,0.09268486499786377,0.8297872543334961,0.39926087856292725,0.000796219683252275
0.9863636493682861,0.06953262537717819,0.8297872543334961,0.37777408957481384,0.0003981098416261375
0.9818181991577148,0.07319338619709015,0.8297872543334961,0.38856247067451477,0.0003981098416261375
0.9863636493682861,0.06459272652864456,0.8297872543334961,0.3895787298679352,0.00019905492081306875
